"title","company","location","description","required_skills","experience_level"
"Chef 266","Google","Remote","Professional role requiring: Cooking & Culinary Skills, Digital Marketing.","Cooking & Culinary Skills, Digital Marketing","2+ Years"
"Digital Marketer 267","Netflix","Remote","Professional role requiring: UI/UX Design, Vocal Training, Database Management (SQL), Web Development (HTML, CSS, JS).","UI/UX Design, Vocal Training, Database Management (SQL), Web Development (HTML, CSS, JS)","1+ Years"
"Fashion Designer 268","Microsoft","Remote","Professional role requiring: Database Management (SQL), Project Management, Machine Learning, Digital Marketing.","Database Management (SQL), Project Management, Machine Learning, Digital Marketing","4+ Years"
"Chef 269","Jio","Remote","Professional role requiring: Fashion Sketching, Machine Learning.","Fashion Sketching, Machine Learning","4+ Years"
"Chef 270","Netflix","Remote","Professional role requiring: Fashion Sketching, Project Management.","Fashion Sketching, Project Management","2+ Years"
"Software Developer 271","Starbucks","Remote","Professional role requiring: Digital Marketing, Project Management.","Digital Marketing, Project Management","1+ Years"
"Data Analyst 272","Jio","Remote","Professional role requiring: Fashion Sketching, Digital Marketing, Machine Learning.","Fashion Sketching, Digital Marketing, Machine Learning","3+ Years"
"Digital Marketer 273","Jio","Remote","Professional role requiring: Vocal Training, UI/UX Design, Machine Learning, Project Management, Web Development (HTML, CSS, JS).","Vocal Training, UI/UX Design, Machine Learning, Project Management, Web Development (HTML, CSS, JS)","5+ Years"
"Chef 274","Google","Remote","Professional role requiring: Python Programming, Fashion Sketching, Web Development (HTML, CSS, JS), Digital Marketing.","Python Programming, Fashion Sketching, Web Development (HTML, CSS, JS), Digital Marketing","2+ Years"
"Chef 275","Zara","Remote","Professional role requiring: Fashion Sketching, Cooking & Culinary Skills, Python Programming, Web Development (HTML, CSS, JS).","Fashion Sketching, Cooking & Culinary Skills, Python Programming, Web Development (HTML, CSS, JS)","2+ Years"
"Data Analyst 276","Microsoft","Remote","Professional role requiring: Python Programming, Project Management, Vocal Training, Digital Marketing, Cooking & Culinary Skills.","Python Programming, Project Management, Vocal Training, Digital Marketing, Cooking & Culinary Skills","2+ Years"
"Fashion Designer 277","Netflix","Remote","Professional role requiring: Project Management, Web Development (HTML, CSS, JS).","Project Management, Web Development (HTML, CSS, JS)","5+ Years"
"Digital Marketer 278","Netflix","Remote","Professional role requiring: Project Management, Digital Marketing, Web Development (HTML, CSS, JS).","Project Management, Digital Marketing, Web Development (HTML, CSS, JS)","3+ Years"
"Digital Marketer 279","Netflix","Remote","Professional role requiring: Web Development (HTML, CSS, JS), Python Programming.","Web Development (HTML, CSS, JS), Python Programming","5+ Years"
"Fashion Designer 280","Jio","Remote","Professional role requiring: Project Management, Digital Marketing.","Project Management, Digital Marketing","2+ Years"
"Digital Marketer 281","Tesla","Remote","Professional role requiring: Machine Learning, Project Management.","Machine Learning, Project Management","3+ Years"
"Fashion Designer 282","Netflix","Remote","Professional role requiring: UI/UX Design, Cooking & Culinary Skills, Fashion Sketching, Web Development (HTML, CSS, JS), Project Management.","UI/UX Design, Cooking & Culinary Skills, Fashion Sketching, Web Development (HTML, CSS, JS), Project Management","4+ Years"
"Digital Marketer 283","Zara","Remote","Professional role requiring: Machine Learning, Cooking & Culinary Skills, Digital Marketing, Python Programming, Fashion Sketching.","Machine Learning, Cooking & Culinary Skills, Digital Marketing, Python Programming, Fashion Sketching","3+ Years"
"Data Analyst 284","Netflix","Remote","Professional role requiring: Fashion Sketching, Database Management (SQL), Digital Marketing, UI/UX Design.","Fashion Sketching, Database Management (SQL), Digital Marketing, UI/UX Design","2+ Years"
"Software Developer 285","Jio","Remote","Professional role requiring: Vocal Training, Fashion Sketching, Project Management, Database Management (SQL), UI/UX Design.","Vocal Training, Fashion Sketching, Project Management, Database Management (SQL), UI/UX Design","3+ Years"
"Digital Marketer 286","Microsoft","Remote","Professional role requiring: Machine Learning, Python Programming.","Machine Learning, Python Programming","4+ Years"
"Digital Marketer 287","Google","Remote","Professional role requiring: Machine Learning, Project Management, Digital Marketing, Web Development (HTML, CSS, JS).","Machine Learning, Project Management, Digital Marketing, Web Development (HTML, CSS, JS)","2+ Years"
"Digital Marketer 288","Google","Remote","Professional role requiring: Machine Learning, Web Development (HTML, CSS, JS).","Machine Learning, Web Development (HTML, CSS, JS)","5+ Years"
"Software Developer 289","Google","Remote","Professional role requiring: Fashion Sketching, Machine Learning, UI/UX Design, Cooking & Culinary Skills.","Fashion Sketching, Machine Learning, UI/UX Design, Cooking & Culinary Skills","4+ Years"
"Software Developer 290","Starbucks","Remote","Professional role requiring: Vocal Training, Project Management, Python Programming, Cooking & Culinary Skills.","Vocal Training, Project Management, Python Programming, Cooking & Culinary Skills","1+ Years"
"Data Analyst 291","Zara","Remote","Professional role requiring: Database Management (SQL), Cooking & Culinary Skills, Fashion Sketching, Vocal Training.","Database Management (SQL), Cooking & Culinary Skills, Fashion Sketching, Vocal Training","5+ Years"
"Data Analyst 292","Tesla","Remote","Professional role requiring: Web Development (HTML, CSS, JS), Cooking & Culinary Skills.","Web Development (HTML, CSS, JS), Cooking & Culinary Skills","4+ Years"
"Chef 293","Microsoft","Remote","Professional role requiring: Database Management (SQL), Machine Learning, Vocal Training, Web Development (HTML, CSS, JS).","Database Management (SQL), Machine Learning, Vocal Training, Web Development (HTML, CSS, JS)","1+ Years"
"Software Developer 294","Google","Remote","Professional role requiring: Machine Learning, Digital Marketing, UI/UX Design, Database Management (SQL).","Machine Learning, Digital Marketing, UI/UX Design, Database Management (SQL)","5+ Years"
"Chef 295","Microsoft","Remote","Professional role requiring: Web Development (HTML, CSS, JS), Cooking & Culinary Skills, UI/UX Design, Fashion Sketching.","Web Development (HTML, CSS, JS), Cooking & Culinary Skills, UI/UX Design, Fashion Sketching","4+ Years"
"Digital Marketer 296","Jio","Remote","Professional role requiring: Web Development (HTML, CSS, JS), Machine Learning, Project Management, Digital Marketing.","Web Development (HTML, CSS, JS), Machine Learning, Project Management, Digital Marketing","2+ Years"
"Digital Marketer 297","Google","Remote","Professional role requiring: Digital Marketing, Cooking & Culinary Skills, Python Programming, Machine Learning.","Digital Marketing, Cooking & Culinary Skills, Python Programming, Machine Learning","3+ Years"
"Digital Marketer 298","Zara","Remote","Professional role requiring: Project Management, Machine Learning, UI/UX Design.","Project Management, Machine Learning, UI/UX Design","4+ Years"
"Software Developer 299","Google","Remote","Professional role requiring: Web Development (HTML, CSS, JS), UI/UX Design, Database Management (SQL), Fashion Sketching.","Web Development (HTML, CSS, JS), UI/UX Design, Database Management (SQL), Fashion Sketching","5+ Years"
"Data Analyst 300","Google","Remote","Professional role requiring: UI/UX Design, Web Development (HTML, CSS, JS), Database Management (SQL), Cooking & Culinary Skills, Fashion Sketching.","UI/UX Design, Web Development (HTML, CSS, JS), Database Management (SQL), Cooking & Culinary Skills, Fashion Sketching","2+ Years"
"Fashion Designer 301","Jio","Remote","Professional role requiring: UI/UX Design, Fashion Sketching, Python Programming.","UI/UX Design, Fashion Sketching, Python Programming","2+ Years"
"Chef 302","Starbucks","Remote","Professional role requiring: Cooking & Culinary Skills, Database Management (SQL), Project Management.","Cooking & Culinary Skills, Database Management (SQL), Project Management","3+ Years"
"Digital Marketer 303","Microsoft","Remote","Professional role requiring: UI/UX Design, Fashion Sketching, Digital Marketing, Machine Learning, Python Programming.","UI/UX Design, Fashion Sketching, Digital Marketing, Machine Learning, Python Programming","1+ Years"
"Digital Marketer 304","Starbucks","Remote","Professional role requiring: Database Management (SQL), Vocal Training, Python Programming, Machine Learning.","Database Management (SQL), Vocal Training, Python Programming, Machine Learning","3+ Years"
"Software Developer 305","Netflix","Remote","Professional role requiring: Python Programming, Web Development (HTML, CSS, JS), UI/UX Design, Project Management, Database Management (SQL).","Python Programming, Web Development (HTML, CSS, JS), UI/UX Design, Project Management, Database Management (SQL)","5+ Years"
"Chef 306","Zara","Remote","Professional role requiring: Fashion Sketching, UI/UX Design.","Fashion Sketching, UI/UX Design","2+ Years"
"Chef 307","Zara","Remote","Professional role requiring: Project Management, Vocal Training, Web Development (HTML, CSS, JS), Python Programming, UI/UX Design.","Project Management, Vocal Training, Web Development (HTML, CSS, JS), Python Programming, UI/UX Design","3+ Years"
"Data Analyst 308","Starbucks","Remote","Professional role requiring: UI/UX Design, Digital Marketing.","UI/UX Design, Digital Marketing","3+ Years"
"Software Developer 309","Jio","Remote","Professional role requiring: Project Management, Machine Learning, Cooking & Culinary Skills, Vocal Training.","Project Management, Machine Learning, Cooking & Culinary Skills, Vocal Training","5+ Years"
"Software Developer 310","Google","Remote","Professional role requiring: Digital Marketing, Fashion Sketching, Python Programming, Cooking & Culinary Skills.","Digital Marketing, Fashion Sketching, Python Programming, Cooking & Culinary Skills","1+ Years"
"Software Developer 311","Jio","Remote","Professional role requiring: Project Management, Fashion Sketching, Digital Marketing.","Project Management, Fashion Sketching, Digital Marketing","3+ Years"
"Data Analyst 312","Google","Remote","Professional role requiring: Vocal Training, Python Programming, Fashion Sketching, Cooking & Culinary Skills, Machine Learning.","Vocal Training, Python Programming, Fashion Sketching, Cooking & Culinary Skills, Machine Learning","1+ Years"
"Fashion Designer 313","Tesla","Remote","Professional role requiring: Machine Learning, Digital Marketing, Cooking & Culinary Skills.","Machine Learning, Digital Marketing, Cooking & Culinary Skills","4+ Years"
"Chef 314","Microsoft","Remote","Professional role requiring: Web Development (HTML, CSS, JS), Python Programming.","Web Development (HTML, CSS, JS), Python Programming","5+ Years"
"Fashion Designer 315","Netflix","Remote","Professional role requiring: Cooking & Culinary Skills, UI/UX Design, Vocal Training.","Cooking & Culinary Skills, UI/UX Design, Vocal Training","2+ Years"
"Chef 316","Netflix","Remote","Professional role requiring: Project Management, Fashion Sketching, Database Management (SQL).","Project Management, Fashion Sketching, Database Management (SQL)","1+ Years"
"Fashion Designer 317","Jio","Remote","Professional role requiring: Project Management, Machine Learning, Digital Marketing, UI/UX Design.","Project Management, Machine Learning, Digital Marketing, UI/UX Design","2+ Years"
"Fashion Designer 318","Tesla","Remote","Professional role requiring: Web Development (HTML, CSS, JS), UI/UX Design, Vocal Training.","Web Development (HTML, CSS, JS), UI/UX Design, Vocal Training","2+ Years"
"Chef 319","Google","Remote","Professional role requiring: Database Management (SQL), Fashion Sketching.","Database Management (SQL), Fashion Sketching","3+ Years"
"Software Developer 320","Netflix","Remote","Professional role requiring: Database Management (SQL), Fashion Sketching, UI/UX Design, Cooking & Culinary Skills.","Database Management (SQL), Fashion Sketching, UI/UX Design, Cooking & Culinary Skills","5+ Years"
"Fashion Designer 321","Netflix","Remote","Professional role requiring: UI/UX Design, Database Management (SQL).","UI/UX Design, Database Management (SQL)","2+ Years"
"Chef 322","Netflix","Remote","Professional role requiring: Fashion Sketching, Vocal Training.","Fashion Sketching, Vocal Training","5+ Years"
"Fashion Designer 323","Tesla","Remote","Professional role requiring: Database Management (SQL), Python Programming.","Database Management (SQL), Python Programming","5+ Years"
"Software Developer 324","Google","Remote","Professional role requiring: Digital Marketing, Fashion Sketching.","Digital Marketing, Fashion Sketching","5+ Years"
"Chef 325","Starbucks","Remote","Professional role requiring: Vocal Training, Python Programming, Fashion Sketching, Web Development (HTML, CSS, JS).","Vocal Training, Python Programming, Fashion Sketching, Web Development (HTML, CSS, JS)","5+ Years"
"Software Developer 326","Netflix","Remote","Professional role requiring: Fashion Sketching, Machine Learning.","Fashion Sketching, Machine Learning","3+ Years"
"Data Analyst 327","Starbucks","Remote","Professional role requiring: Fashion Sketching, Machine Learning, Digital Marketing, Project Management, UI/UX Design.","Fashion Sketching, Machine Learning, Digital Marketing, Project Management, UI/UX Design","3+ Years"
"Software Developer 328","Microsoft","Remote","Professional role requiring: Machine Learning, Digital Marketing, Database Management (SQL), Fashion Sketching, Cooking & Culinary Skills.","Machine Learning, Digital Marketing, Database Management (SQL), Fashion Sketching, Cooking & Culinary Skills","1+ Years"
"Digital Marketer 329","Zara","Remote","Professional role requiring: Digital Marketing, Database Management (SQL).","Digital Marketing, Database Management (SQL)","5+ Years"
"Data Analyst 330","Tesla","Remote","Professional role requiring: Database Management (SQL), Machine Learning, UI/UX Design, Web Development (HTML, CSS, JS).","Database Management (SQL), Machine Learning, UI/UX Design, Web Development (HTML, CSS, JS)","2+ Years"
"Chef 331","Tesla","Remote","Professional role requiring: Vocal Training, Database Management (SQL), UI/UX Design.","Vocal Training, Database Management (SQL), UI/UX Design","5+ Years"
"Data Analyst 332","Netflix","Remote","Professional role requiring: UI/UX Design, Machine Learning.","UI/UX Design, Machine Learning","2+ Years"
"Chef 333","Netflix","Remote","Professional role requiring: Cooking & Culinary Skills, Web Development (HTML, CSS, JS), Database Management (SQL), Digital Marketing.","Cooking & Culinary Skills, Web Development (HTML, CSS, JS), Database Management (SQL), Digital Marketing","2+ Years"
"Software Developer 334","Tesla","Remote","Professional role requiring: Database Management (SQL), UI/UX Design, Vocal Training.","Database Management (SQL), UI/UX Design, Vocal Training","1+ Years"
"Data Analyst 335","Zara","Remote","Professional role requiring: Web Development (HTML, CSS, JS), Vocal Training.","Web Development (HTML, CSS, JS), Vocal Training","2+ Years"
"Fashion Designer 336","Microsoft","Remote","Professional role requiring: Cooking & Culinary Skills, Project Management, Python Programming, Machine Learning, Web Development (HTML, CSS, JS).","Cooking & Culinary Skills, Project Management, Python Programming, Machine Learning, Web Development (HTML, CSS, JS)","1+ Years"
"Digital Marketer 337","Netflix","Remote","Professional role requiring: Vocal Training, UI/UX Design, Machine Learning, Python Programming, Cooking & Culinary Skills.","Vocal Training, UI/UX Design, Machine Learning, Python Programming, Cooking & Culinary Skills","5+ Years"
"Digital Marketer 338","Starbucks","Remote","Professional role requiring: Fashion Sketching, Database Management (SQL), Project Management.","Fashion Sketching, Database Management (SQL), Project Management","2+ Years"
"Data Analyst 339","Jio","Remote","Professional role requiring: Cooking & Culinary Skills, UI/UX Design, Vocal Training, Web Development (HTML, CSS, JS).","Cooking & Culinary Skills, UI/UX Design, Vocal Training, Web Development (HTML, CSS, JS)","2+ Years"
"Chef 340","Tesla","Remote","Professional role requiring: Machine Learning, Database Management (SQL), Web Development (HTML, CSS, JS), Python Programming.","Machine Learning, Database Management (SQL), Web Development (HTML, CSS, JS), Python Programming","5+ Years"
"Digital Marketer 341","Starbucks","Remote","Professional role requiring: UI/UX Design, Vocal Training, Python Programming, Digital Marketing.","UI/UX Design, Vocal Training, Python Programming, Digital Marketing","1+ Years"
"Software Developer 342","Microsoft","Remote","Professional role requiring: Vocal Training, UI/UX Design, Database Management (SQL), Python Programming, Digital Marketing.","Vocal Training, UI/UX Design, Database Management (SQL), Python Programming, Digital Marketing","3+ Years"
"Fashion Designer 343","Microsoft","Remote","Professional role requiring: Vocal Training, Cooking & Culinary Skills, Python Programming, UI/UX Design.","Vocal Training, Cooking & Culinary Skills, Python Programming, UI/UX Design","2+ Years"
"Software Developer 344","Netflix","Remote","Professional role requiring: Database Management (SQL), Cooking & Culinary Skills, Vocal Training, Project Management.","Database Management (SQL), Cooking & Culinary Skills, Vocal Training, Project Management","3+ Years"
"Digital Marketer 345","Zara","Remote","Professional role requiring: Project Management, Python Programming, Cooking & Culinary Skills, Web Development (HTML, CSS, JS), Fashion Sketching.","Project Management, Python Programming, Cooking & Culinary Skills, Web Development (HTML, CSS, JS), Fashion Sketching","1+ Years"
"Data Analyst 346","Google","Remote","Professional role requiring: Database Management (SQL), UI/UX Design, Machine Learning, Python Programming, Digital Marketing.","Database Management (SQL), UI/UX Design, Machine Learning, Python Programming, Digital Marketing","2+ Years"
"Software Developer 347","Netflix","Remote","Professional role requiring: Database Management (SQL), Cooking & Culinary Skills.","Database Management (SQL), Cooking & Culinary Skills","1+ Years"
"Chef 348","Tesla","Remote","Professional role requiring: Fashion Sketching, UI/UX Design, Digital Marketing, Database Management (SQL).","Fashion Sketching, UI/UX Design, Digital Marketing, Database Management (SQL)","1+ Years"
"Digital Marketer 349","Zara","Remote","Professional role requiring: UI/UX Design, Project Management.","UI/UX Design, Project Management","5+ Years"
"Data Analyst 350","Netflix","Remote","Professional role requiring: Database Management (SQL), Python Programming.","Database Management (SQL), Python Programming","4+ Years"
"Data Analyst 351","Jio","Remote","Professional role requiring: Project Management, Python Programming, Database Management (SQL), Fashion Sketching.","Project Management, Python Programming, Database Management (SQL), Fashion Sketching","2+ Years"
"Data Analyst 352","Starbucks","Remote","Professional role requiring: Python Programming, Digital Marketing, Machine Learning, Cooking & Culinary Skills, UI/UX Design.","Python Programming, Digital Marketing, Machine Learning, Cooking & Culinary Skills, UI/UX Design","5+ Years"
"Digital Marketer 353","Jio","Remote","Professional role requiring: Cooking & Culinary Skills, Machine Learning.","Cooking & Culinary Skills, Machine Learning","2+ Years"
"Chef 354","Jio","Remote","Professional role requiring: UI/UX Design, Digital Marketing, Python Programming, Project Management, Machine Learning.","UI/UX Design, Digital Marketing, Python Programming, Project Management, Machine Learning","3+ Years"
"Digital Marketer 355","Jio","Remote","Professional role requiring: Digital Marketing, Machine Learning, Cooking & Culinary Skills, UI/UX Design.","Digital Marketing, Machine Learning, Cooking & Culinary Skills, UI/UX Design","1+ Years"
"Fashion Designer 356","Microsoft","Remote","Professional role requiring: Database Management (SQL), Project Management, Web Development (HTML, CSS, JS).","Database Management (SQL), Project Management, Web Development (HTML, CSS, JS)","5+ Years"
"Digital Marketer 357","Microsoft","Remote","Professional role requiring: Python Programming, Web Development (HTML, CSS, JS), Vocal Training.","Python Programming, Web Development (HTML, CSS, JS), Vocal Training","5+ Years"
"Software Developer 358","Netflix","Remote","Professional role requiring: Database Management (SQL), Fashion Sketching, Python Programming, Vocal Training.","Database Management (SQL), Fashion Sketching, Python Programming, Vocal Training","2+ Years"
"Software Developer 359","Microsoft","Remote","Professional role requiring: Vocal Training, Python Programming, UI/UX Design, Web Development (HTML, CSS, JS), Machine Learning.","Vocal Training, Python Programming, UI/UX Design, Web Development (HTML, CSS, JS), Machine Learning","1+ Years"
"Fashion Designer 360","Jio","Remote","Professional role requiring: Project Management, Vocal Training, Database Management (SQL), Digital Marketing, Web Development (HTML, CSS, JS).","Project Management, Vocal Training, Database Management (SQL), Digital Marketing, Web Development (HTML, CSS, JS)","4+ Years"
"Software Developer 361","Microsoft","Remote","Professional role requiring: Machine Learning, UI/UX Design.","Machine Learning, UI/UX Design","3+ Years"
"Software Developer 362","Netflix","Remote","Professional role requiring: UI/UX Design, Cooking & Culinary Skills, Web Development (HTML, CSS, JS), Project Management, Machine Learning.","UI/UX Design, Cooking & Culinary Skills, Web Development (HTML, CSS, JS), Project Management, Machine Learning","3+ Years"
"Fashion Designer 363","Jio","Remote","Professional role requiring: Cooking & Culinary Skills, Database Management (SQL).","Cooking & Culinary Skills, Database Management (SQL)","4+ Years"
"Digital Marketer 364","Microsoft","Remote","Professional role requiring: Project Management, UI/UX Design, Vocal Training, Machine Learning, Cooking & Culinary Skills.","Project Management, UI/UX Design, Vocal Training, Machine Learning, Cooking & Culinary Skills","5+ Years"
"Digital Marketer 365","Tesla","Remote","Professional role requiring: Project Management, Digital Marketing, Machine Learning, Database Management (SQL).","Project Management, Digital Marketing, Machine Learning, Database Management (SQL)","4+ Years"
"Data Analyst 366","Zara","Remote","Professional role requiring: Vocal Training, Fashion Sketching, UI/UX Design, Database Management (SQL).","Vocal Training, Fashion Sketching, UI/UX Design, Database Management (SQL)","2+ Years"
"Software Developer 367","Tesla","Remote","Professional role requiring: Database Management (SQL), Web Development (HTML, CSS, JS).","Database Management (SQL), Web Development (HTML, CSS, JS)","4+ Years"
"Fashion Designer 368","Zara","Remote","Professional role requiring: Vocal Training, Digital Marketing, Machine Learning.","Vocal Training, Digital Marketing, Machine Learning","2+ Years"
"Software Developer 369","Jio","Remote","Professional role requiring: Machine Learning, Fashion Sketching, Database Management (SQL), Project Management, UI/UX Design.","Machine Learning, Fashion Sketching, Database Management (SQL), Project Management, UI/UX Design","4+ Years"
"Fashion Designer 370","Tesla","Remote","Professional role requiring: Project Management, Database Management (SQL).","Project Management, Database Management (SQL)","1+ Years"
"Digital Marketer 371","Tesla","Remote","Professional role requiring: Database Management (SQL), Machine Learning, Digital Marketing, UI/UX Design.","Database Management (SQL), Machine Learning, Digital Marketing, UI/UX Design","4+ Years"
"Digital Marketer 372","Microsoft","Remote","Professional role requiring: Cooking & Culinary Skills, Web Development (HTML, CSS, JS).","Cooking & Culinary Skills, Web Development (HTML, CSS, JS)","2+ Years"
"Software Developer 373","Starbucks","Remote","Professional role requiring: Fashion Sketching, Vocal Training, Database Management (SQL), Machine Learning.","Fashion Sketching, Vocal Training, Database Management (SQL), Machine Learning","2+ Years"
"Fashion Designer 374","Microsoft","Remote","Professional role requiring: Cooking & Culinary Skills, Database Management (SQL), Digital Marketing, Web Development (HTML, CSS, JS).","Cooking & Culinary Skills, Database Management (SQL), Digital Marketing, Web Development (HTML, CSS, JS)","2+ Years"
"Data Analyst 375","Starbucks","Remote","Professional role requiring: Database Management (SQL), Python Programming, Cooking & Culinary Skills, Machine Learning.","Database Management (SQL), Python Programming, Cooking & Culinary Skills, Machine Learning","5+ Years"
"Chef 376","Google","Remote","Professional role requiring: Database Management (SQL), Digital Marketing, Fashion Sketching, Web Development (HTML, CSS, JS), Machine Learning.","Database Management (SQL), Digital Marketing, Fashion Sketching, Web Development (HTML, CSS, JS), Machine Learning","1+ Years"
"Digital Marketer 377","Microsoft","Remote","Professional role requiring: UI/UX Design, Web Development (HTML, CSS, JS), Digital Marketing, Cooking & Culinary Skills, Vocal Training.","UI/UX Design, Web Development (HTML, CSS, JS), Digital Marketing, Cooking & Culinary Skills, Vocal Training","2+ Years"
"Digital Marketer 378","Zara","Remote","Professional role requiring: Digital Marketing, Machine Learning.","Digital Marketing, Machine Learning","2+ Years"
"Software Developer 379","Microsoft","Remote","Professional role requiring: Python Programming, Digital Marketing, UI/UX Design, Vocal Training, Web Development (HTML, CSS, JS).","Python Programming, Digital Marketing, UI/UX Design, Vocal Training, Web Development (HTML, CSS, JS)","5+ Years"
"Chef 380","Jio","Remote","Professional role requiring: Fashion Sketching, Web Development (HTML, CSS, JS), Vocal Training, Python Programming, Project Management.","Fashion Sketching, Web Development (HTML, CSS, JS), Vocal Training, Python Programming, Project Management","5+ Years"
"Fashion Designer 381","Zara","Remote","Professional role requiring: Web Development (HTML, CSS, JS), Python Programming.","Web Development (HTML, CSS, JS), Python Programming","5+ Years"
"Fashion Designer 382","Starbucks","Remote","Professional role requiring: Machine Learning, Project Management, Cooking & Culinary Skills, Database Management (SQL).","Machine Learning, Project Management, Cooking & Culinary Skills, Database Management (SQL)","4+ Years"
"Fashion Designer 383","Google","Remote","Professional role requiring: Web Development (HTML, CSS, JS), Digital Marketing, Database Management (SQL), Project Management, Machine Learning.","Web Development (HTML, CSS, JS), Digital Marketing, Database Management (SQL), Project Management, Machine Learning","1+ Years"
"Digital Marketer 384","Netflix","Remote","Professional role requiring: Project Management, Database Management (SQL), Vocal Training.","Project Management, Database Management (SQL), Vocal Training","5+ Years"
"Data Analyst 385","Zara","Remote","Professional role requiring: Database Management (SQL), Cooking & Culinary Skills, Digital Marketing, Machine Learning.","Database Management (SQL), Cooking & Culinary Skills, Digital Marketing, Machine Learning","3+ Years"
"Fashion Designer 386","Starbucks","Remote","Professional role requiring: Machine Learning, Cooking & Culinary Skills, Vocal Training, Python Programming, Database Management (SQL).","Machine Learning, Cooking & Culinary Skills, Vocal Training, Python Programming, Database Management (SQL)","3+ Years"
"Data Analyst 387","Netflix","Remote","Professional role requiring: Cooking & Culinary Skills, Fashion Sketching, Digital Marketing, Machine Learning.","Cooking & Culinary Skills, Fashion Sketching, Digital Marketing, Machine Learning","1+ Years"
"Software Developer 388","Microsoft","Remote","Professional role requiring: Cooking & Culinary Skills, Fashion Sketching, Machine Learning.","Cooking & Culinary Skills, Fashion Sketching, Machine Learning","5+ Years"
"Chef 389","Tesla","Remote","Professional role requiring: Vocal Training, Python Programming, Cooking & Culinary Skills, Digital Marketing.","Vocal Training, Python Programming, Cooking & Culinary Skills, Digital Marketing","1+ Years"
"Software Developer 390","Google","Remote","Professional role requiring: Python Programming, Web Development (HTML, CSS, JS).","Python Programming, Web Development (HTML, CSS, JS)","4+ Years"
"Chef 391","Microsoft","Remote","Professional role requiring: Project Management, Cooking & Culinary Skills, Machine Learning, Python Programming, Fashion Sketching.","Project Management, Cooking & Culinary Skills, Machine Learning, Python Programming, Fashion Sketching","4+ Years"
"Data Analyst 392","Netflix","Remote","Professional role requiring: Database Management (SQL), Python Programming, Web Development (HTML, CSS, JS), Project Management, Vocal Training.","Database Management (SQL), Python Programming, Web Development (HTML, CSS, JS), Project Management, Vocal Training","4+ Years"
"Fashion Designer 393","Starbucks","Remote","Professional role requiring: Fashion Sketching, Web Development (HTML, CSS, JS).","Fashion Sketching, Web Development (HTML, CSS, JS)","1+ Years"
"Data Analyst 394","Jio","Remote","Professional role requiring: Cooking & Culinary Skills, Vocal Training, Project Management.","Cooking & Culinary Skills, Vocal Training, Project Management","5+ Years"
"Software Developer 395","Google","Remote","Professional role requiring: Project Management, Web Development (HTML, CSS, JS).","Project Management, Web Development (HTML, CSS, JS)","1+ Years"
"Digital Marketer 396","Google","Remote","Professional role requiring: Cooking & Culinary Skills, Python Programming, Digital Marketing.","Cooking & Culinary Skills, Python Programming, Digital Marketing","4+ Years"
"Chef 397","Starbucks","Remote","Professional role requiring: Web Development (HTML, CSS, JS), Cooking & Culinary Skills, Python Programming.","Web Development (HTML, CSS, JS), Cooking & Culinary Skills, Python Programming","5+ Years"
"Software Developer 398","Netflix","Remote","Professional role requiring: Project Management, Database Management (SQL).","Project Management, Database Management (SQL)","2+ Years"
"Digital Marketer 399","Jio","Remote","Professional role requiring: UI/UX Design, Web Development (HTML, CSS, JS), Vocal Training.","UI/UX Design, Web Development (HTML, CSS, JS), Vocal Training","4+ Years"
"Software Developer 400","Netflix","Remote","Professional role requiring: Digital Marketing, Project Management, Cooking & Culinary Skills, Machine Learning.","Digital Marketing, Project Management, Cooking & Culinary Skills, Machine Learning","3+ Years"
"Fashion Designer 401","Jio","Remote","Professional role requiring: UI/UX Design, Vocal Training, Machine Learning, Web Development (HTML, CSS, JS).","UI/UX Design, Vocal Training, Machine Learning, Web Development (HTML, CSS, JS)","3+ Years"
"Fashion Designer 402","Zara","Remote","Professional role requiring: Vocal Training, Machine Learning.","Vocal Training, Machine Learning","1+ Years"
"Software Developer 403","Netflix","Remote","Professional role requiring: Project Management, UI/UX Design, Machine Learning, Database Management (SQL).","Project Management, UI/UX Design, Machine Learning, Database Management (SQL)","2+ Years"
"Chef 404","Jio","Remote","Professional role requiring: UI/UX Design, Machine Learning, Database Management (SQL), Digital Marketing, Fashion Sketching.","UI/UX Design, Machine Learning, Database Management (SQL), Digital Marketing, Fashion Sketching","2+ Years"
"Digital Marketer 405","Starbucks","Remote","Professional role requiring: Cooking & Culinary Skills, Machine Learning, Project Management, UI/UX Design, Digital Marketing.","Cooking & Culinary Skills, Machine Learning, Project Management, UI/UX Design, Digital Marketing","2+ Years"
"Software Developer 406","Zara","Remote","Professional role requiring: Python Programming, UI/UX Design, Web Development (HTML, CSS, JS), Fashion Sketching.","Python Programming, UI/UX Design, Web Development (HTML, CSS, JS), Fashion Sketching","3+ Years"
"Digital Marketer 407","Netflix","Remote","Professional role requiring: Web Development (HTML, CSS, JS), Vocal Training, Python Programming.","Web Development (HTML, CSS, JS), Vocal Training, Python Programming","3+ Years"
"Chef 408","Tesla","Remote","Professional role requiring: Vocal Training, Cooking & Culinary Skills.","Vocal Training, Cooking & Culinary Skills","5+ Years"
"Chef 409","Tesla","Remote","Professional role requiring: Fashion Sketching, Vocal Training, Digital Marketing, Web Development (HTML, CSS, JS).","Fashion Sketching, Vocal Training, Digital Marketing, Web Development (HTML, CSS, JS)","4+ Years"
